,PC1,PC2
pageviews,0.05546634944481066,-0.015920070110121764
timeOnSite,0.043097580214588406,-0.05868034228782931
browser_woe,0.008029360687450932,-0.28514792099572994
country_woe,0.014864682414070952,-0.43123186559254034
source_woe,0.014165961438350893,-0.5779141437968676
transactions,0.036559240141490576,-0.13442093486663134
hits.eCom,0.004315605447031856,-0.07891116822567887
hour_ordinal,0.0056377565251885435,-0.2352143035774036
recency,0.003197617951498041,0.13043765805674448
monetary,0.020303385595762728,-0.0427849916172802
c_direct,0.0005743251780280154,-0.07105531437180675
med_cpc,0.00015460784550193397,-0.003175168949877657
newVisits,-0.005436436778214564,0.128665702639964
tablet,-4.026671446614281e-05,-0.003117771000095536
OS_windows,-0.0027999441846830544,0.05636078147520192
OS_chrome,0.0010676731994523662,-0.015014868442307754
med_organic,0.000951744391155404,-0.028237274171980683
OS_wii,-4.1708357876174915e-06,0.0001053419384854589
OS_windwsphone,-2.2791402095619163e-05,0.00042869325270960293
OS_linux,0.00047938457691578594,-0.017027891946071707
hits,0.996199358667029,0.036084670188281855
c_display,9.759444478918147e-05,-0.004516019446177171
c_organic_search,0.000627171785422683,-0.10964547844885032
bounces,-0.010101228350236502,0.08795332688943355
OS_xbox,-7.651674042963153e-07,3.206941152920726e-05
OS_samsung,-4.63048296652296e-06,5.901925763817867e-05
med_cpm,9.759444478918147e-05,-0.004516019446177171
OS_firefox,-1.5063556110682475e-06,9.840544143814575e-05
c_referral,0.004907717220129939,-0.06712832442023935
OS_mac,0.002600948296279445,0.02150704155558215
mobile,-0.0013043954549369838,-0.042902541822310056
frequency,0.008585022031630076,-0.2858328859565777
med_referral,-0.00647167575520427,0.2580387509642006
c_social,-0.006335050526711406,0.2628210214459456
direct_is_true,0.004426701477432103,-0.15278269848174375
c_paid_search,0.0003234604700017759,-0.013044896069272324
OS_blackberry,-3.932412612397875e-06,-3.405632888259965e-05
repurchasers,0.0024731917286523624,-0.020997899177574376
OS_ios,-0.0005597959681687921,-0.01612819608146371
med_affiliate,-0.00019521857166018985,0.002569011310400559
OS_android,-0.0006824332160989986,-0.03128888339962423
